1	а	а	CCONJ	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3537.889#3538.333
2	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@nvs1967f-words#@nvs1967f#3538.333#3538.777
3	анонсируя	анонсировать	VERB	_	Aspect=Imp|Tense=Pres|VerbForm=Conv|Voice=Act	_	_	_	@nvs1967f-words#@nvs1967f#3538.777#3539.221
4	будущие	будущий	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Number=Plur	_	_	_	@nvs1967f-words#@nvs1967f#3539.221#3539.665
5	/	/	PUNCT	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3539.665#3540.109
6	серии	серия	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	_	_	_	@nvs1967f-words#@nvs1967f#3540.109#3540.553
7	этого	этот	PRON	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3540.553#3541.0
8	ээ	ээ	INTJ	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3541.8#3542.093
9	/	/	PUNCT	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3542.093#3542.386
10	документального	документальный	ADJ	_	Case=Gen|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3542.386#3542.679
11	сериала	сериал	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3542.679#3542.972
12	хочу	хотеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@nvs1967f-words#@nvs1967f#3542.972#3543.265
13	вам	вы	PRON	_	Case=Dat|Number=Plur|Person=2	_	_	_	@nvs1967f-words#@nvs1967f#3543.265#3543.558
14	сказать	сказать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@nvs1967f-words#@nvs1967f#3543.558#3543.851
15	что	что	SCONJ	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3543.851#3544.144
16	если	если	SCONJ	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3544.144#3544.437
17	бы	бы	AUX	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3544.437#3544.73
18	те	тот	DET	_	Case=Nom|Number=Plur	_	_	_	@nvs1967f-words#@nvs1967f#3544.73#3545.023
19	люди	человек	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@nvs1967f-words#@nvs1967f#3545.023#3545.316
20	/	/	PUNCT	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3545.316#3545.609
21	которых	который	SCONJ	_	Case=Gen	_	_	_	@nvs1967f-words#@nvs1967f#3545.609#3545.902
22	маленькая	маленький	ADJ	_	Case=Nom|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3545.902#3546.195
23	/	/	PUNCT	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3546.195#3546.488
24	Люда	Люда	PROPN	_	Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3546.488#3546.781
25	приглашала	приглашать	VERB	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@nvs1967f-words#@nvs1967f#3546.781#3547.074
26	через	через	ADP	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3547.074#3547.367
27	20	20	NUM	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3547.367#3547.66
28	лет	год	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	_	_	_	@nvs1967f-words#@nvs1967f#3547.66#3547.953
29	в	в	ADP	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3547.953#3548.246
30	театр	театр	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3548.246#3548.539
31	/	/	PUNCT	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3548.539#3548.832
32	через	через	ADP	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3548.832#3549.125
33	20	20	NUM	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3549.125#3549.418
34	лет	год	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	_	_	_	@nvs1967f-words#@nvs1967f#3549.418#3549.711
35	пришли	прийти	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@nvs1967f-words#@nvs1967f#3549.711#3550.004
36	бы	бы	AUX	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3550.004#3550.297
37	в	в	ADP	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3550.297#3550.59
38	театр	театр	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3550.59#3550.883
39	для	для	ADP	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3550.883#3551.176
40	того	то	PRON	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3551.176#3551.469
41	чтобы	чтобы	SCONJ	_	Mood=Cnd	_	_	_	@nvs1967f-words#@nvs1967f#3551.469#3551.762
42	её	она	PRON	_	Case=Acc|Gender=Fem|Number=Sing|Person=3	_	_	_	@nvs1967f-words#@nvs1967f#3551.762#3552.055
43	увидеть	увидеть	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@nvs1967f-words#@nvs1967f#3552.055#3552.348
44	/	/	PUNCT	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3552.348#3552.641
45	им	они	PRON	_	Case=Dat|Number=Plur|Person=3	_	_	_	@nvs1967f-words#@nvs1967f#3552.641#3552.934
46	пришлось	прийтись	VERB	_	Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@nvs1967f-words#@nvs1967f#3552.934#3553.227
47	/	/	PUNCT	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3553.227#3553.52
48	бы	бы	PART	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3553.52#3553.813
49	прийти	прийти	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@nvs1967f-words#@nvs1967f#3553.813#3554.106
50	в	в	ADP	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3554.106#3554.399
51	театр	театр	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3554.399#3554.692
52	Каргопольлага	Каргопольлаг	PROPN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3554.692#3555.0
53	потому	потому	ADV	_	Degree=Pos	_	_	_	@nvs1967f-words#@nvs1967f#3555.4#3555.725
54	что	что	SCONJ	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3555.725#3556.05
55	там	там	ADV	_	Degree=Pos	_	_	_	@nvs1967f-words#@nvs1967f#3556.05#3556.375
56	Люда	Люда	PROPN	_	Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3556.375#3556.7
57	действительно	действительно	ADV	_	Degree=Pos	_	_	_	@nvs1967f-words#@nvs1967f#3556.7#3557.025
58	была	быть	AUX	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@nvs1967f-words#@nvs1967f#3557.025#3557.35
59	актрисой	актрисый	NOUN	_	Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3557.35#3557.675
60	/	/	PUNCT	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3557.675#3558.0
61	да	да	PART	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3559.0#3559.2
62	нужно	нужно	PRED	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3621.4#3621.69
63	понимать	понимать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@nvs1967f-words#@nvs1967f#3621.69#3621.98
64	что	что	SCONJ	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3621.98#3622.27
65	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3622.27#3622.56
66	лагерь	лагерь	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3622.56#3622.85
67	где	где	SCONJ	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3622.85#3623.14
68	находились	находиться	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@nvs1967f-words#@nvs1967f#3623.14#3623.43
69	уголовницы	уголовница	NOUN	_	Animacy=Anim|Case=Nom|Gender=Fem|Number=Plur	_	_	_	@nvs1967f-words#@nvs1967f#3623.43#3623.72
70	в	в	ADP	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3623.72#3624.01
71	том	тот	DET	_	Case=Loc|Gender=Neut|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3624.01#3624.3
72	числе	число	NOUN	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3624.3#3624.6
73	а	а	CCONJ	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3771.363#3771.63
74	Каргопольлаг	Каргопольлаг	PROPN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3771.63#3771.897
75	/	/	PUNCT	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3771.897#3772.164
76	заметьте	заметить	VERB	_	Aspect=Perf|Mood=Imp|Number=Plur|Person=2|VerbForm=Fin|Voice=Act	_	_	_	@nvs1967f-words#@nvs1967f#3772.164#3772.431
77	/	/	PUNCT	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3772.431#3772.698
78	лесной	лесной	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3772.698#3772.967
79	это	это	PART	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3773.428#3773.756
80	значит	значить	PART	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3773.756#3774.084
81	что	что	SCONJ	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3774.084#3774.412
82	та..аа	та..аа	X	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3774.412#3774.74
83	/	/	PUNCT	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3774.74#3775.068
84	что	что	SCONJ	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3775.068#3775.396
85	заключенные	заключенный	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@nvs1967f-words#@nvs1967f#3775.396#3775.724
86	которые	который	PRON	_	Case=Nom	_	_	_	@nvs1967f-words#@nvs1967f#3775.724#3776.052
87	там	там	ADV	_	Degree=Pos	_	_	_	@nvs1967f-words#@nvs1967f#3776.052#3776.38
88	находятся	находиться	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@nvs1967f-words#@nvs1967f#3776.38#3776.708
89	аа	аа	INTJ	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3776.708#3777.036
90	/	/	PUNCT	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3777.036#3777.364
91	работают	работать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@nvs1967f-words#@nvs1967f#3777.364#3777.692
92	либо	либо	CCONJ	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3777.692#3778.02
93	на	на	ADP	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3778.02#3778.348
94	лесоповале	лесоповал	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3778.348#3778.676
95	либо	либо	CCONJ	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3778.676#3779.004
96	на	на	ADP	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3779.004#3779.332
97	какой-то	какой-то	DET	_	Case=Loc|Gender=Fem|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3779.332#3779.66
98	лесообработке	лесообработка	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3779.66#3779.988
99	либо	либо	CCONJ	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3779.988#3780.316
100	на	на	ADP	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3780.316#3780.644
101	погрузке	погрузка	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3780.644#3780.993
102	аа	аа	INTJ	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3781.954#3782.177
103	/	/	PUNCT	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3782.177#3782.4
104	поэтому	поэтому	ADV	_	Degree=Pos	_	_	_	@nvs1967f-words#@nvs1967f#3782.4#3782.623
105	вопрос	вопрос	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3782.623#3782.846
106	что	что	PRON	_	Case=Acc	_	_	_	@nvs1967f-words#@nvs1967f#3782.846#3783.069
107	умеет	уметь	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@nvs1967f-words#@nvs1967f#3783.069#3783.292
108	эта	этот	DET	_	Case=Nom|Gender=Fem|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3783.292#3783.515
109	девочка	девочка	NOUN	_	Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3783.515#3783.738
110	в	в	ADP	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3783.738#3783.961
111	общем	общий	ADJ	_	Case=Loc|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3783.961#3784.184
112	/	/	PUNCT	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3784.184#3784.407
113	аа	аа	INTJ	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3784.407#3784.63
114	/	/	PUNCT	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3784.63#3784.853
115	означает	означать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@nvs1967f-words#@nvs1967f#3784.853#3785.076
116	пойдет	пойти	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	@nvs1967f-words#@nvs1967f#3785.076#3785.299
117	эта	этот	DET	_	Case=Nom|Gender=Fem|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3785.299#3785.522
118	девочка	девочка	NOUN	_	Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3785.522#3785.745
119	у	у	ADP	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3785.745#3785.968
120	нас	мы	PRON	_	Case=Gen|Number=Plur|Person=1	_	_	_	@nvs1967f-words#@nvs1967f#3785.968#3786.191
121	на	на	ADP	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3786.191#3786.414
122	лесоповал	лесоповал	VERB	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@nvs1967f-words#@nvs1967f#3786.414#3786.637
123	/	/	PUNCT	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3786.637#3786.86
124	или	или	CCONJ	_	_	_	_	_	@nvs1967f-words#@nvs1967f#3786.86#3787.083
125	она	она	PRON	_	Case=Nom|Gender=Fem|Number=Sing|Person=3	_	_	_	@nvs1967f-words#@nvs1967f#3787.083#3787.306
126	пойдет	пойти	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	@nvs1967f-words#@nvs1967f#3787.306#3787.529
127	куда-нибудь	куда-нибудь	ADV	_	Degree=Pos	_	_	_	@nvs1967f-words#@nvs1967f#3787.529#3787.752
128	еще	еще	ADV	_	Degree=Pos	_	_	_	@nvs1967f-words#@nvs1967f#3787.752#3788.0
129	да	да	PART	_	_	_	_	_	@lah1929f-words#@lah1929f#3558.1#3558.333
130	/	/	PUNCT	_	_	_	_	_	@lah1929f-words#@lah1929f#3558.333#3558.566
131	было	быть	VERB	_	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@lah1929f-words#@lah1929f#3558.566#3558.8
132	было	быть	VERB	_	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@lah1929f-words#@lah1929f#3560.8#3561.0
133	и	и	CCONJ	_	_	_	_	_	@lah1929f-words#@lah1929f#3562.6#3563.083
134	вот	вот	PART	_	_	_	_	_	@lah1929f-words#@lah1929f#3563.083#3563.566
135	опять	опять	ADV	_	Degree=Pos	_	_	_	@lah1929f-words#@lah1929f#3563.566#3564.049
136	/	/	PUNCT	_	_	_	_	_	@lah1929f-words#@lah1929f#3564.049#3564.532
137	Ким	Ким	PROPN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@lah1929f-words#@lah1929f#3564.532#3565.015
138	/	/	PUNCT	_	_	_	_	_	@lah1929f-words#@lah1929f#3565.015#3565.498
139	этот	этот	DET	_	Case=Nom|Gender=Masc|Number=Sing	_	_	_	@lah1929f-words#@lah1929f#3565.498#3565.981
140	Ким	Ким	PROPN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@lah1929f-words#@lah1929f#3565.981#3566.464
141	/	/	PUNCT	_	_	_	_	_	@lah1929f-words#@lah1929f#3566.464#3566.947
142	датчанин	датчанин	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@lah1929f-words#@lah1929f#3566.947#3567.43
143	/	/	PUNCT	_	_	_	_	_	@lah1929f-words#@lah1929f#3567.43#3567.913
144	живущий	жить	VERB	_	Aspect=Imp|Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act	_	_	_	@lah1929f-words#@lah1929f#3567.913#3568.396
145	в	в	ADP	_	_	_	_	_	@lah1929f-words#@lah1929f#3568.396#3568.879
146	другом	другой	ADJ	_	Case=Loc|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@lah1929f-words#@lah1929f#3568.879#3569.362
147	мире	мир	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@lah1929f-words#@lah1929f#3569.362#3569.845
148	другой	другой	ADJ	_	Case=Ins|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@lah1929f-words#@lah1929f#3569.845#3570.328
149	жизнью	жизнь	NOUN	_	Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing	_	_	_	@lah1929f-words#@lah1929f#3570.328#3570.811
150	/	/	PUNCT	_	_	_	_	_	@lah1929f-words#@lah1929f#3570.811#3571.294
151	ничего	ничто	PRON	_	Case=Gen	_	_	_	@lah1929f-words#@lah1929f#3571.294#3571.777
152	вообще	вообще	ADV	_	Degree=Pos	_	_	_	@lah1929f-words#@lah1929f#3571.777#3572.26
153	вот	вот	PART	_	_	_	_	_	@lah1929f-words#@lah1929f#3572.26#3572.743
154	тебе	ты	PRON	_	Case=Dat|Number=Sing|Person=2	_	_	_	@lah1929f-words#@lah1929f#3572.743#3573.226
155	рассказывает	рассказывать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@lah1929f-words#@lah1929f#3573.226#3573.709
156	человек	человек	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@lah1929f-words#@lah1929f#3573.709#3574.192
157	который	который	SCONJ	_	_	_	_	_	@lah1929f-words#@lah1929f#3574.192#3574.675
158	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@lah1929f-words#@lah1929f#3574.675#3575.158
159	прошел	пройти	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@lah1929f-words#@lah1929f#3575.158#3575.641
160	/	/	PUNCT	_	_	_	_	_	@lah1929f-words#@lah1929f#3575.641#3576.124
161	что	что	SCONJ	_	_	_	_	_	@lah1929f-words#@lah1929f#3576.124#3576.607
162	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	@lah1929f-words#@lah1929f#3576.607#3577.09
163	пишет	писать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@lah1929f-words#@lah1929f#3577.09#3577.6
164	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@lah1929f-words#@lah1929f#3579.4#3579.796
165	попала	попасть	VERB	_	Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@lah1929f-words#@lah1929f#3579.796#3580.192
166	в	в	ADP	_	_	_	_	_	@lah1929f-words#@lah1929f#3580.192#3580.588
167	этот	этот	DET	_	Case=Acc|Gender=Masc|Number=Sing	_	_	_	@lah1929f-words#@lah1929f#3580.588#3580.984
168	театр	театр	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@lah1929f-words#@lah1929f#3580.984#3581.38
169	не	не	PART	_	_	_	_	_	@lah1929f-words#@lah1929f#3581.38#3581.776
170	за	за	ADP	_	_	_	_	_	@lah1929f-words#@lah1929f#3581.776#3582.172
171	свои	свой	DET	_	Case=Acc|Number=Plur	_	_	_	@lah1929f-words#@lah1929f#3582.172#3582.568
172	какие-то	какой-то	DET	_	Case=Acc|Number=Plur	_	_	_	@lah1929f-words#@lah1929f#3582.568#3582.964
173	/	/	PUNCT	_	_	_	_	_	@lah1929f-words#@lah1929f#3582.964#3583.36
